issabaa#sis sais bisas;bissa;isbas baisas;baissa;basais abaissa
ostnenm#sot sont;tons notes;osent entons;sonnet;tenons;tenson;tonnes mentons
ostrenm#sot rots;sort;tors rotes;sorte;store;torse rosent;seront mentors;monstre;montres
stuenme#sut;tus tues suent;tenus;tunes;usent musent menuets
nsuimea#nus;uns insu;nuis;unis minus;munis munies menuisa
nsuimee#nus;uns insu;nuis;unis minus;munis munies menuise
suérmen#sué;usé rués;rusé murés;sérum mesuré;murées;remués;résume mensuré;ménures;surmené
amtéslp#mat maté;méat;méta matés;méats;métas maltés méplats
présima#pré prés épris;péris;priés;prisé;ripés mépris;primés méprisa;périmas
présime#pré prés épris;péris;priés;prisé;ripés mépris;primés empirés;méprise;périmes;primées
osérnmi#osé éros;rosé ornés;réons mornés;normés mérinos;minorés
essmeri#ses mess messe messer merises;messier;messire;remises;remisse
irtémai#rit;tir;tri tiré;trié mitré;trimé émirat;mérita;métrai méritai
stéirma#tés tisé strié;tirés;triés mitrés;trimés émirats;méritas;métrais
irtétâm#rit;tir;tri tiré;trié titré étirât;itérât méritât
irtééme#rit;tir;tri tiré;trié étiré;itéré mérité émérite;méritée
stéirme#tés tisé strié;tirés;triés mitrés;trimés mérites;métiers;mitrées;trémies;trimées
emsranl#mes mers;rems amers;armes;mares;maser;rames marnes merlans
irsenlm#ris;sir ires;reis;ries;sire reins;riens;serin liners merlins
orsenml#ors ores;oser;rose;sore ornes mornes;normes;renoms;sermon merlons
nséagme#nés ansé gansé;nagés magnés;mangés engamés;magnées;mangées;ménages;mésange
nsuieqm#nus;uns insu;nuis;unis nuise;unies;usine enquis;niques;quines;sequin mesquin
imsésee#mis émis;misé misés émises;émisse;misées;séisme messiée
essmeri#ses mess messe messer merises;messier;messire;remises;remisse
essmeri#ses mess messe messer merises;messier;messire;remises;remisse
estresm#est;set;tes rets;sert ester;reste;serte;terse esters;restes;sertes;terses;tresse mestres
rsumaie#rus;sur murs arums;muras murais mesurai;muerais;muserai;remuais
ssurema#sus surs ruses;russe;sures musser assumer;masseur;masures;mausers;mesuras;murasse;museras;mussera;sursema
stuârem#sut;tus suât;usât rusât ruâtes mâtures;mesurât;murâtes
suérmee#sué;usé rués;rusé murés;sérum mesuré;murées;remués;résume mesurée;remuées
rsumeer#rus;sur murs meurs;mures;muser mesure;meures;remues;semeur mesurer
suésrme#sué;usé sués;usés rusés sérums mesurés;mésuser;résumes;sursemé
esuzrem#eus;sue;use suez;usez rusez suerez;userez mesurez;muserez
suésmai#sué;usé sués;usés mussé amusés;assumé;mésusa mésusai
suésrme#sué;usé sués;usés rusés sérums mesurés;mésuser;résumes;sursemé
suésmse#sué;usé sués;usés mussé mussés émusses;mésuses;mussées
suésmez#sué;usé sués;usés mussé émusse;mésuse;musées;mussée mésusez
stéirme#tés tisé strié;tirés;triés mitrés;trimés mérites;métiers;mitrées;trémies;trimées
stéisem#tés tisé tisés;tissé tisées;tissée estimés;métisse;sémites
optésem#pot;top opté;topé posté postée;potées empotés;estompé;métopes
arétmeg#réa raté;taré métra;tramé;tréma étamer;rétame;tramée métrage
stéirma#tés tisé strié;tirés;triés mitrés;trimés émirats;méritas;métrais
irtétam#rit;tir;tri tiré;trié titré attiré;traité métrait
noétsrm#éon;néo noté notés;séton;sténo étrons;ténors métrons;montrés
esttarm#est;set;tes test testa strate;tarets;tartes mettras
muéeleb#ému;mué émeu;émue;muée émule;meulé meulée meublée
suémelb#sué;usé émus;mués;musé émeus;émues;muées;musée émules;meulés;muselé meublés
msuelia#mus meus;mues;muse mules simule meulais;miaules;muselai
suémele#sué;usé émus;mués;musé émeus;émues;muées;musée émules;meulés;muselé meulées;muselée
rtuenme#rut tuer ruent;tuner;turne murent menteur;meurent;remuent
issmeam#sis miss mises;misse;semis essaim;semais miasmes;mimasse
msuelia#mus meus;mues;muse mules simule meulais;miaules;muselai
orsinmc#ors rois;rosi;soir irons;noirs;orins;rions mirons;rimons microns
irsmaig#ris;sir mirs maris;miras;ramis;rimas mirais;rimais grimais;maigris;migrais
artmiig#art;rat tram matir;trima mirait;rimait;trimai grimait;maigrit;migrait
irtnamg#rit;tir;tri trin nitra;riant;tarin;train mirant;rimant grimant;migrant
irtnemg#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine mentir;mirent;riment griment;migrent
eirrmga#ire;rie rire mirer;rimer grimer;migrer grimera;migrera
irzemig#riz irez;riez mirez;rimez miriez;rimiez grimiez;migriez
orsinmg#ors rois;rosi;soir irons;noirs;orins;rions mirons;rimons grimons;migrons
ilsecim#ils;lis;sil lies;lise ciels;lices;sicle silice milices
irtemil#rit;tir;tri rite;tire;trie miter;mitre;remit;trime imiter limiter;militer
estmiil#est;set;tes mets;stem items;mites imites limites;milites
estllim#est;set;tes lest;tels tells listel;sillet;tilles millets
issmeam#sis miss mises;misse;semis essaim;semais miasmes;mimasse
irsmeam#ris;sir mirs mires;miser;remis;rimes maires;maries;misera;ramies;remisa mimeras
imnaleb#min main;mina liman;malin;milan lamine;malien lambine;minable
astninm#tas tans saint;satin;tains;tians nantis;tanins minants
irtnema#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine mentir;mirent;riment marient;martien;mentira;minaret;termina
estniâm#est;set;tes nets;sent senti;teins;tiens niâtes minâtes
irsanmb#ris;sir airs;iras;rais;rias;sari arsin;ranis marins minbars
irsanme#ris;sir airs;iras;rais;rias;sari arsin;ranis marins marines;mineras;ranimes
eirnezm#ire;rie nier;rein;rien reine;renie nierez;reniez minerez
ervinem#ver ivre;rive;vire nervi;venir;verni;viner enivre;envier;renvie;veiner;vernie minerve;vermine
rsuenmi#rus;sur rues;ruse;suer;sure;ures;user nurse;urnes rumens mineurs;rumines
nsuimbi#nus;uns insu;nuis;unis minus;munis nimbus minibus
nosinme#nos;son ions;soin nions;sinon minons menions;minoens
iornami#roi noir;orin noria;ornai manoir;minora;romain;romani minorai
orsinma#ors rois;rosi;soir irons;noirs;orins;rions mirons;rimons armions;manoirs;marions;minoras;ramions;romains;romanis
orsinme#ors rois;rosi;soir irons;noirs;orins;rions mirons;rimons minores
osérnmi#osé éros;rosé ornés;réons mornés;normés mérinos;minorés
enzorim#nez;zen onze;zone ornez;zoner orniez;zonier minorez
stuinma#sut;tus suit nuits;suint mutins minutas;mutinas;tsunami
rtuenmi#rut tuer ruent;tuner;turne murent minuter;muretin;mutiner
irsmega#ris;sir mirs mires;miser;remis;rimes grimes;migres germais;maigres;mirages
essrami#ses sers rases;seras masers;masser massier;mirasse;miseras;remisas;rimasse
irtsemâ#rit;tir;tri tirs;tris rites;serti;strie;tiers;tires;tiser;tries mitres;trimes;trisme mirâtes;remisât;rimâtes;tirâmes;triâmes
eirnmba#ire;rie nier;rein;rien miner nimber mirbane;nimbera;rembina
eirrmai#ire;rie rire mirer;rimer amerri;arrime;marier;marrie;mirera;ramier;rimera mirerai;rimerai
irsarme#ris;sir airs;iras;rais;rias;sari riras marris amerris;arrimes;marries;mireras;ramiers;rimeras;simarre
rsumeei#rus;sur murs meurs;mures;muser mesure;meures;remues;semeur mireuse;rimeuse
orsinmi#ors rois;rosi;soir irons;noirs;orins;rions mirons;rimons mirions;rimions
irsmaie#ris;sir mirs maris;miras;ramis;rimas mirais;rimais mairies;miserai;remisai
essrami#ses sers rases;seras masers;masser massier;mirasse;miseras;remisas;rimasse
estsinm#est;set;tes sets sites;tises;tisse sentis;tinsse missent
astrmil#tas arts;rats;star;tsar smart;trams trimas mistral
estmiag#est;set;tes mets;stem items;mites estima;maties;semait;tamise mitages
astisme#tas asti;sait;tais;tisa assit;astis;tisas;tissa samits estimas;matisse;mitasse;tamises
irtemia#rit;tir;tri rite;tire;trie miter;mitre;remit;trime imiter imitera;miterai
irtsema#rit;tir;tri tirs;tris rites;serti;strie;tiers;tires;tiser;tries mitres;trimes;trisme mariste;miteras;tamiers;tamiser
irtemig#rit;tir;tri rite;tire;trie miter;mitre;remit;trime imiter mitiger
estmiig#est;set;tes mets;stem items;mites imites mitiges
ostnmii#sot sont;tons monts minots;miston;mitons;timons imitons;mitions
estsiom#est;set;tes sets sites;tises;tisse soties;toises mitoses;somites
stéirme#tés tisé strié;tirés;triés mitrés;trimés mérites;métiers;mitrées;trémies;trimées
ostrinm#sot rots;sort;tors rosit;sorti;trios;trois rotins;tirons;trions mitrons;trimons
osédlem#osé dosé;sodé dolés;soldé désole;dolées;soldée modelés
emronde#mer;rem more;orme morne;norme;renom monder endorme;moderne
muéoled#ému;mué émou moulé;oléum émoule;moulée démoule;modulée
suémold#sué;usé émus;mués;musé émous moulés;oléums modulés
emronid#mer;rem more;orme morne;norme;renom minore dominer;endormi;moindre
eirrmoa#ire;rie rire mirer;rimer moirer armoire;armorie;moirera
orsinom#ors rois;rosi;soir irons;noirs;orins;rions norois moirons;morions
ostnmia#sot sont;tons monts minots;miston;mitons;timons mations;moisant;montais
ostnmie#sot sont;tons monts minots;miston;mitons;timons moisent;moniste
orsimea#ors rois;rosi;soir miros moires;moiser;semoir armoise;maories;moisera;ormaies
nossoim#nos;son sons osons;sonos oisons;osions moisons;moisson
nossoim#nos;son sons osons;sonos oisons;osions moisons;moisson
rtuoemi#rut tour;trou outre;rouet;route;touer;troue moteur moiteur;moutier
emraloi#mer;rem amer;arme;mare;rame lamer;larme morale larmoie;mariole;molaire
nosmiad#nos;son noms moins aimons;amnios;maison amidons;damions;dominas;mondais
emronda#mer;rem more;orme morne;norme;renom monder mandore;mondera;romande
ostnmie#sot sont;tons monts minots;miston;mitons;timons moisent;moniste
ostrenm#sot rots;sort;tors rotes;sorte;store;torse rosent;seront mentors;monstre;montres
ostnmia#sot sont;tons monts minots;miston;mitons;timons mations;moisant;montais
ortenma#rot rote noter;notre mentor;monter;montre matrone;montera;remonta
rtuoenm#rut tour;trou outre;rouet;route;touer;troue entour;rouent;tourne monteur;monture;mueront
ostranm#sot rots;sort;tors rosat;rotas orants;ratons;rosant;tarons montras;tramons
ostrenm#sot rots;sort;tors rotes;sorte;store;torse rosent;seront mentors;monstre;montres
noétsrm#éon;néo noté notés;séton;sténo étrons;ténors métrons;montrés
rtuoenm#rut tour;trou outre;rouet;route;touer;troue entour;rouent;tourne monteur;monture;mueront
suémoqe#sué;usé émus;mués;musé émous moqués moquées;mosquée
emronia#mer;rem more;orme morne;norme;renom minore moraine;romaine
emraloc#mer;rem amer;arme;mare;rame lamer;larme morale morcela
orsimda#ors rois;rosi;soir miros dormis;mordis dormais;mordais
ortenmd#rot rote noter;notre mentor;monter;montre dorment;mordent
derormo#der dore;rode dorer;ordre;roder mordre;remord mordore
rsuoemd#rus;sur ours euros;ourse;roues;soeur moeurs;morues;remous mordues;remouds
foramli#for afro;faro;fora forma morfal;morfla morfila;morflai
foramli#for afro;faro;fora forma morfal;morfla morfila;morflai
orsemfl#ors ores;oser;rose;sore mores;morse;ormes formes formels;morfles
rsuoemg#rus;sur ours euros;ourse;roues;soeur moeurs;morues;remous gourmes;morgues
orsinom#ors rois;rosi;soir irons;noirs;orins;rions norois moirons;morions
emronmo#mer;rem more;orme morne;norme;renom nommer mormone
osérnme#osé éros;rosé ornés;réons mornés;normés énormes;mornées;normées
rsuoemr#rus;sur ours euros;ourse;roues;soeur moeurs;morues;remous morsure;mourres
irtermo#rit;tir;tri rite;tire;trie terri;tirer;trier trimer mortier
esttome#est;set;tes test sotte motets;mottes;totems mosette;omettes
suémoqe#sué;usé émus;mués;musé émous moqués moquées;mosquée
sturoem#sut;tus ruts tours;trous outres;rouets;routes;troues moteurs
motetra#mot omet;tome motet;motte;totem motter marotte;mottera;omettra
rtuoemf#rut tour;trou outre;rouet;route;touer;troue moteur moufter
suémole#sué;usé émus;mués;musé émous moulés;oléums émoules;moulées
eruluom#rue;ure leur;relu lueur loueur mouleur;moulure;remoulu
eruluom#rue;ure leur;relu lueur loueur mouleur;moulure;remoulu
rsuoima#rus;sur ours rouis;souri musoir;roumis;surmoi mourais
rtuoiam#rut tour;trou rouit outrai;rouait;routai;trouai mourait
rtuoanm#rut tour;trou atour;outra;raout;routa;troua auront;rouant;tourna mourant
rsuoemr#rus;sur ours euros;ourse;roues;soeur moeurs;morues;remous morsure;mourres
rtuoemi#rut tour;trou outre;rouet;route;touer;troue moteur moiteur;moutier
ssuesma#sus sues;uses susse musses assumes;massues;muasses;musasse
rsumaie#rus;sur murs arums;muras murais mesurai;muerais;muserai;remuais
atuirme#tua tuai ruait atrium;murait muerait;muriate;muterai;remuait
rtuoenm#rut tour;trou outre;rouet;route;touer;troue entour;rouent;tourne monteur;monture;mueront
rtuoeml#rut tour;trou outre;rouet;route;touer;troue moteur muloter
rsuinam#rus;sur suri surin nuiras;ruinas;saurin;surina;uniras;urinas muniras;ruminas
eruzinm#rue;ure ruez ruiez nuirez;ruinez;unirez;urinez munirez;ruminez
stuenîm#sut;tus tues suent;tenus;tunes;usent unîtes munîtes
sturenm#sut;tus ruts suret rusent;surent;tuners;turnes munster;sternum
rsumega#rus;sur murs meurs;mures;muser grumes agrumes;murages
ssurema#sus surs ruses;russe;sures musser assumer;masseur;masures;mausers;mesuras;murasse;museras;mussera;sursema
stuârem#sut;tus suât;usât rusât ruâtes mâtures;mesurât;murâtes
rsueram#rus;sur rues;ruse;suer;sure;ures;user ruser raseur;rueras;rusera;saurer armures;mureras;rameurs;ramures
rtuenmi#rut tuer ruent;tuner;turne murent minuter;muretin;mutiner
atuirme#tua tuai ruait atrium;murait muerait;muriate;muterai;remuait
rsumead#rus;sur murs meurs;mures;muser amures;amuser;masure;maures;mauser;mesura;mueras;musera;remuas musarde
suérmad#sué;usé rués;rusé murés;sérum amurés;résuma démuras;musardé
ssuesma#sus sues;uses susse musses assumes;massues;muasses;musasse
suémelc#sué;usé émus;mués;musé émeus;émues;muées;musée émules;meulés;muselé musclée
msuelia#mus meus;mues;muse mules simule meulais;miaules;muselai
ssuemal#sus sues;uses muses;musse amuses;assume;massue;muasse muselas
stuâmel#sut;tus suât;usât musât muâtes;tuâmes lutâmes;muselât
suémele#sué;usé émus;mués;musé émeus;émues;muées;musée émules;meulés;muselé meulées;muselée
suésmel#sué;usé sués;usés mussé émusse;mésuse;musées;mussée muselés
rsumaie#rus;sur murs arums;muras murais mesurai;muerais;muserai;remuais
ssurema#sus surs ruses;russe;sures musser assumer;masseur;masures;mausers;mesuras;murasse;museras;mussera;sursema
esuzrem#eus;sue;use suez;usez rusez suerez;userez mesurez;muserez
asuiqmu#sua;usa suai;usai quais;quasi maquis musiqua;musquai
asuiqmu#sua;usa suai;usai quais;quasi maquis musiqua;musquai
suésmse#sué;usé sués;usés mussé mussés émusses;mésuses;mussées
stuenms#sut;tus tues suent;tenus;tunes;usent musent mussent
ssurema#sus surs ruses;russe;sures musser assumer;masseur;masures;mausers;mesuras;murasse;museras;mussera;sursema
atuirme#tua tuai ruait atrium;murait muerait;muriate;muterai;remuait
rtuelim#rut tuer luter;relut reluit;rituel;rutile;treuil;tuiler mutiler
stumeli#sut;tus must muets;mutes mulets mutiles;stimule;ultimes
stuinma#sut;tus suit nuits;suint mutins minutas;mutinas;tsunami
rtuenmi#rut tuer ruent;tuner;turne murent minuter;muretin;mutiner
mtuelus#mut meut;muet;mute mulet mutuel;mutule mutuels;mutules
mtuelus#mut meut;muet;mute mulet mutuel;mutule mutuels;mutules
imreayd#mir mire;rime aimer;maire;marie;ramie rimaye myriade
irscnaa#ris;sir cris crins cairns;crains;rancis ancrais;arnicas;canaris;cranais;nacrais;racinas;ricanas
irtnaca#rit;tir;tri trin nitra;riant;tarin;train cintra;cirant;craint;criant;rancit ancrait;cariant;cranait;crantai;nacrait
erésnca#rée rées renés cernés;encrés ancrées;carnées;caserné;cranées;nacrées;sérance
artennc#art;rat rate;tare antre;entra;renta tanner ancrent;cernant;cranent;encrant;nacrent
aerrnca#are erra;rare narre ancrer;craner;nacrer ancrera;cranera;nacrera
irzecna#riz irez;riez cirez;criez rincez ancriez;craniez;nacriez;racinez;ricanez
orsancn#ors rosa ornas;sonar corans;cornas ancrons;cranons;nacrons
gisneaa#gis gins geins;seing;signe;singe gaines;saigne;singea nageais
ginraea#gin ring garni;grain gainer;garnie;graine;grenai;ignare;regain angarie;gainera;nagerai;rangeai
arsgnea#ars;ras gars;gras rangs ganser;grenas;ranges gansera;nageras;rangeas
rsuenga#rus;sur rues;ruse;suer;sure;ures;user nurse;urnes grenus nageurs;nargues;surnage
nsueage#nus;uns nues;unes aunes;saune;senau nuages nageuse
nosinag#nos;son ions;soin nions;sinon anions;sonnai gainons;nagions
ainzses#nia nazi;zain;zani nazis;zains;zanis anisez;nazies naissez
irtnaaî#rit;tir;tri trin nitra;riant;tarin;train airant;ratina naîtrai;traînai
astranî#tas arts;rats;star;tsar rasta;ratas;taras rasant naîtras;traînas
artenîz#art;rat rate;tare antre;entra;renta naître;renaît;traîne naîtrez;traînez
estnina#est;set;tes nets;sent senti;teins;tiens tennis anisent;nanties;tannise
irtnana#rit;tir;tri trin nitra;riant;tarin;train nantir nantira;rainant
orsenca#ors ores;oser;rose;sore ornes cornes;ronces narcose
rsuagan#rus;sur ruas;rusa;saur argus;gaurs arguas;raguas narguas
erurgan#rue;ure ruer urger arguer;rageur;raguer;urgera narguer
rsuenga#rus;sur rues;ruse;suer;sure;ures;user nurse;urnes grenus nageurs;nargues;surnage
suéragn#sué;usé rués;rusé sauré argués;ragués nargués;surnagé
irsenan#ris;sir ires;reis;ries;sire reins;riens;serin aniser;ariens;arsine;nieras;raines;renais;renias;serina narines
irsaran#ris;sir airs;iras;rais;rias;sari riras arrisa narrais
irtaran#rit;tir;tri tari;tira;tria tarir tarira;traira narrait
arternn#art;rat rate;tare rater;tarer;terra errant;rentra narrent
artenhx#art;rat rate;tare antre;entra;renta hanter narthex
dernsaa#der rend rends danser;darnes;redans;sandre dansera;nasarde;sardane
nsuieqa#nus;uns insu;nuis;unis nuise;unies;usine enquis;niques;quines;sequin nasique
estnica#est;set;tes nets;sent senti;teins;tiens ceints;scient castine;natices
ostnani#sot sont;tons notas;osant;taons santon nations;sonnait;tisonna;tonnais
ostrann#sot rots;sort;tors rosat;rotas orants;ratons;rosant;tarons natrons
anttisa#tan tant tinta;titan tintas;tisant;titans nattais;taisant
anttent#tan tant natte;tante;tenta entant;tenant nattent;tentant
artetna#art;rat rate;tare taret;tarte natter;ratent;tarent nattera;tartane
irtetna#rit;tir;tri rite;tire;trie tiret;titre retint;ternit;tinter;tirent;trient entrait;nattier;nitrate;rentait;tartine;tintera;traient
sturena#sut;tus ruts suret rusent;surent;tuners;turnes natures;saturne;saurent
arvinan#var ravi;riva;vair;vira;vrai ravin navrai;ravina navarin;nirvana
ervsina#ver vers ivres;revis;rives;servi;vires;viser nervis;revins;vernis avenirs;enivras;inversa;navires;ravines;renvias;vineras
asvrina#vas vars ravis;rivas;vairs;viras;vrais ravins navrais;ravinas;savarin
arvitna#var ravi;riva;vair;vira;vrai ravit;vitra rivant;virant navrait;variant
ainzsem#nia nazi;zain;zani nazis;zains;zanis anisez;nazies nazisme
osérnca#osé éros;rosé ornés;réons cornés;créons acérons;écornas;nécrosa
osérnec#osé éros;rosé ornés;réons ornées coréens;cornées;écornes;nécrose
estranc#est;set;tes rets;sert aster;astre;rates;resta;tares;tarse;tersa antres;entras;estran;rasent;rentas;transe canters;cantres;carnets;centras;crantes;encarts;nectars;sacrent;tanrecs
eirnega#ire;rie nier;rein;rien reine;renie neiger neigera
enéttio#née enté tenté entité;éteint;teinté;tétine;tintée néottie
ervsinn#ver vers ivres;revis;rives;servi;vires;viser nervis;revins;vernis nervins
erunale#rue;ure nuer;urne nuera;urane aluner;neural neurale
sturene#sut;tus ruts suret rusent;surent;tuners;turnes entures;neutres;retenus;senteur;teneurs;tenures
rtuoenn#rut tour;trou outre;rouet;route;touer;troue entour;rouent;tourne neutron;nueront
irtéven#rit;tir;tri tiré;trié vitré étrive;éviter;rétive;riveté;vitrée névrite
ensilab#sen nies;sein;sien liens enlias;enlisa;ensila;laines;lianes;salien;saline niables
ansiiai#ans anis;nais;nias;sain ainsi;niais anisai;niaisa niaisai
irsanie#ris;sir airs;iras;rais;rias;sari arsin;ranis raisin niaiser;nierais;reniais;serinai
ainzsie#nia nazi;zain;zani nazis;zains;zanis sizain anisiez;niaisez
ansiich#ans anis;nais;nias;sain ainsi;niais incisa chinais;nichais
eirncha#ire;rie nier;rein;rien rince chiner;nicher chinera;nichera
estnich#est;set;tes nets;sent senti;teins;tiens ceints;scient nichets
nosinhc#nos;son ions;soin nions;sinon honnis chinons;nichons
eirnlel#ire;rie nier;rein;rien liner enlier;lierne nieller
nséiell#nés niés niées enliés;enlisé;ensilé;lésine;sénile niellés
irsanie#ris;sir airs;iras;rais;rias;sari arsin;ranis raisin niaiser;nierais;reniais;serinai
irtnaie#rit;tir;tri trin nitra;riant;tarin;train nitrai iraient;nierait;reniait;riaient
eirnezi#ire;rie nier;rein;rien reine;renie nierez;reniez nieriez;reniiez
orsenni#ors ores;oser;rose;sore ornes sonner nierons;renions
gsuiadn#gus guis aguis;aigus;guais guidas dinguas;guindas;nigauds
inutlag#uni nuit;unit lutin alunit;lutina languit;liguant;nilgaut
antimib#tan tain;tian maint;matin;mitan intima;minait nimbait
eirnmba#ire;rie nier;rein;rien miner nimber mirbane;nimbera;rembina
arvinan#var ravi;riva;vair;vira;vrai ravin navrai;ravina navarin;nirvana
irtsnai#rit;tir;tri tirs;tris trins instar;nitras;riants;tarins;trains;transi irisant;nitrais
aittrni#ait tait tarit;tarti;titra;trait tirant;triant nitrait
aittrnn#ait tait tarit;tarti;titra;trait tirant;triant nitrant
aittrna#ait tait tarit;tarti;titra;trait tirant;triant nitrata;tartina
irtetna#rit;tir;tri rite;tire;trie tiret;titre retint;ternit;tinter;tirent;trient entrait;nattier;nitrate;rentait;tartine;tintera;traient
irtétan#rit;tir;tri tiré;trié titré attiré;traité étirant;itérant;nitraté;tartiné
stéirne#tés tisé strié;tirés;triés nitrés étreins;nitrées;rétines;sérient
irtetnn#rit;tir;tri rite;tire;trie tiret;titre retint;ternit;tinter;tirent;trient nitrent;tinrent
irterna#rit;tir;tri rite;tire;trie terri;tirer;trier nitrer;rirent;ternir nitrera;ratiner;rentrai;ternira;terrain
irtneli#rit;tir;tri trin inter;nitre;rient;tenir;terni;trine linter nitrile
irtetni#rit;tir;tri rite;tire;trie tiret;titre retint;ternit;tinter;tirent;trient nitrite
ostrinn#sot rots;sort;tors rosit;sorti;trios;trois rotins;tirons;trions nitrons
isvnale#vis vins vains;vinas alvins alevins;alvines;levains;nivales;nivelas;valines
isvnale#vis vins vains;vinas alvins alevins;alvines;levains;nivales;nivelas;valines
ervinel#ver ivre;rive;vire nervi;venir;verni;viner enivre;envier;renvie;veiner;vernie niveler;vreneli
rsuonce#rus;sur ours ruons cornus;curons cornues;encours;noceurs
orsench#ors ores;oser;rose;sore ornes cornes;ronces nochers
osvinec#vos vois ovins;ovnis;vison envois;ovines convies;nocives;novices
noteluc#ont;ton note lento louent;notule;noulet clouent;coulent;noctule
orsinea#ors rois;rosi;soir irons;noirs;orins;rions irones;noires;senior noieras
enzorie#nez;zen onze;zone ornez;zoner orniez;zonier noierez
orsinic#ors rois;rosi;soir irons;noirs;orins;rions irions;riions cirions;criions;noircis
nosilia#nos;son ions;soin linos;lions;nolis;solin ilions;liions insolai;liaison;nolisai
nossila#nos;son sons soins lisons;solins insolas;nolisas;salions
ilésone#lié élis;liés isolé iléons;insolé;lésion;nolisé éoliens;insolée;nolisée;oléines
orsinle#ors rois;rosi;soir irons;noirs;orins;rions lirons insoler;lierons;liseron;noliser;relions
ilésson#lié élis;liés lissé isolés élisons;insolés;lésions;nolisés
iornamb#roi noir;orin noria;ornai manoir;minora;romain;romani nombrai
orsanmb#ors rosa ornas;sonar armons;ramons;romans ambrons;bramons;nombras
noérmeb#éon;néo orné morné;normé énorme;mornée;normée nombrée
orsenmb#ors ores;oser;rose;sore ornes mornes;normes;renoms;sermon nombres
enzorbm#nez;zen onze;zone ornez;zoner bornez;bronze nombrez
emronma#mer;rem more;orme morne;norme;renom nommer nommera;renomma
notenan#ont;ton note tenon;tonne annote entonna;nonante;tenonna
iorndra#roi noir;orin nordi;rondi nordir;rondir anordir;arrondi;nordira;rondira
emronla#mer;rem more;orme morne;norme;renom merlon normale
osérnme#osé éros;rosé ornés;réons mornés;normés énormes;mornées;normées
ortinea#rot trio iront;rotin entoir;orient notaire;noterai;orienta
ortinea#rot trio iront;rotin entoir;orient notaire;noterai;orienta
ostrena#sot rots;sort;tors rotes;sorte;store;torse rosent;seront noteras;orantes
ostniec#sot sont;tons oints;tison ointes;soient;tonies notices;section
stuonle#sut;tus oust;tous tonus;tuons lutons notules;noulets
nsueaso#nus;uns nues;unes aunes;saune;senau nuasse;saunes nouasse
stuenâo#sut;tus tues suent;tenus;tunes;usent nuâtes nouâtes
eruonai#rue;ure euro;roue nouer anoure;enroua;nouera;renoua enrouai;nouerai;renouai
rsuonae#rus;sur ours ruons aurons;rouans anoures;enrouas;noueras;renouas
stuonle#sut;tus oust;tous tonus;tuons lutons notules;noulets
osvinec#vos vois ovins;ovnis;vison envois;ovines convies;nocives;novices
nsuienb#nus;uns insu;nuis;unis nuise;unies;usine ennuis nubiens
nsuimed#nus;uns insu;nuis;unis minus;munis munies nudisme;numides
stuined#sut;tus suit nuits;suint nuites;suinte enduits;nudiste
rsuinea#rus;sur suri surin ruines;surine;urines;usiner anuries;nuerais;saunier;saurien;uranies;usinera
eruzine#rue;ure ruez ruiez nuirez;ruinez;unirez;urinez nueriez
orsennu#ors ores;oser;rose;sore ornes sonner nuerons;sonneur
rtuoenn#rut tour;trou outre;rouet;route;touer;troue entour;rouent;tourne neutron;nueront
rsuinai#rus;sur suri surin nuiras;ruinas;saurin;surina;uniras;urinas nuirais;ruinais;surinai;unirais;urinais
eruzini#rue;ure ruez ruiez nuirez;ruinez;unirez;urinez nuiriez;ruiniez;uniriez;uriniez
rsuonin#rus;sur ours ruons oursin;ruions nuirons;ruinons;unirons;urinons
stuinia#sut;tus suit nuits;suint nuisit nuisait;suintai;usinait
stuinen#sut;tus suit nuits;suint nuites;suinte nuisent;sunnite;usinent
esuzini#eus;sue;use suez;usez suiez;usiez nuisez;usinez nuisiez;usiniez
ssuonin#sus ossu;sous suons;usons suions;usions nuisons;unisson;usinons
rsuenmu#rus;sur rues;ruse;suer;sure;ures;user nurse;urnes rumens numerus
nsuimed#nus;uns insu;nuis;unis minus;munis munies nudisme;numides
rsuoecb#rus;sur ours euros;ourse;roues;soeur coeurs;coures;course;source courbes;obscure
oséredb#osé éros;rosé orées;rosée dorées;érodes;rodées bordées;brodées;dérobes;désorbe;obséder
sturoba#sut;tus ruts tours;trous brouts;butors broutas;obstrua;obturas;tourbas
sturoeb#sut;tus ruts tours;trous outres;rouets;routes;troues boutres;brouets;broutes;obstrue;obtures;robuste;tourbes
tuésorb#tué tués toués outrés;résout;routés;troués broutés;obstrué;obturés
ortineb#rot trio iront;rotin entoir;orient broient;obtenir;robinet
stuonbe#sut;tus oust;tous tonus;tuons butons;tubons obtenus
ostnieb#sot sont;tons oints;tison ointes;soient;tonies boisent;bonites;obtiens
entitbo#net tien teint;tient;tinte bitent boitent;bottine;obtient
rtuoiba#rut tour;trou rouit butoir aboutir;broutai;obturai;tourbai
sturoba#sut;tus ruts tours;trous brouts;butors broutas;obstrua;obturas;tourbas
ttuâorb#tut tuât touât outrât;routât;trouât broutât;obturât;tourbât
tuéoreb#tué toué outré;routé;troué outrée;routée;trouée broutée;ébouter;obturée;rebouté
rtuoerb#rut tour;trou outre;rouet;route;touer;troue outrer;retour;roture;router;trouer brouter;obturer;tourber
